"time","seconds_elapsed","rotationRateX","rotationRateY","rotationRateZ","gravityX","gravityY","gravityZ","accelerationX","accelerationY","accelerationZ","quaternionW","quaternionX","quaternionY","quaternionZ","label"
"1.71E+18","0.087345947","-0.135304943","0.016117003","-0.020628158","-0.499097675","-0.164054081","-0.850874722","0.001737356","0.017768055","0.002089381","0.961996512","0.085267504","-0.259407212","-1.62E-18","N"
"1.71E+18","0.097366211","-0.116097696","0.017973971","-0.023537926","-0.49891144","-0.163080707","-0.851170957","0.002680302","0.015772343","-0.004373968","0.962073482","0.084682616","-0.259313251","-0.000267827","N"
"1.71E+18","0.107385986","-0.090525486","0.016638394","-0.018200688","-0.498721302","-0.162288696","-0.851433754","0.000964284","0.010875717","-0.007040918","0.962141638","0.084203625","-0.259215892","-0.000495855","N"
"1.71E+18","0.117405762","-0.087151267","0.018086251","-0.02208038","-0.4985241","-0.161620617","-0.851676285","0.003284782","0.007445797","-0.006874681","0.962204593","0.083796308","-0.259113943","-0.000698978","N"
"1.71E+18","0.127428223","-0.089894056","0.009627518","-0.013236821","-0.498380154","-0.160972387","-0.851883292","0.008069426","0.00342536","-0.011046946","0.962258754","0.083642981","-0.258963697","2.03E-17","N"
"1.71E+18","0.137448242","-0.095180161","0.009533348","-0.006595429","-0.498288125","-0.160218477","-0.852079213","0.010983378","-0.00381352","-0.009828687","0.962309593","0.083202965","-0.2589163","-0.000163085","N"
"1.71E+18","0.147468262","-0.10008011","0.013518769","-0.001049929","-0.498187006","-0.159508109","-0.852271616","0.011416286","-0.006126076","-0.008018851","0.962359523","0.082789479","-0.258863073","-0.000312166","N"
"1.71E+18","0.157488281","-0.108556151","0.007086969","0.001659304","-0.498242825","-0.158516914","-0.852423906","0.013608336","-0.006949395","-0.014671981","0.962399016","0.082244457","-0.258889739","-0.000411258","N"
"1.71E+18","0.167508301","-0.112918675","0.009617238","0.003852418","-0.49820134","-0.157314122","-0.852670908","0.022462755","-0.008106411","-0.017888725","0.962463076","0.081586041","-0.258859542","-0.000515763","N"
"1.71E+18","0.177528564","-0.105510026","0.010337037","0.004554693","-0.498087078","-0.156137049","-0.85295403","0.025857985","-0.010504201","-0.016034007","0.962536662","0.080943365","-0.25878788","-0.00060888","N"
"1.71E+18","0.18754834","-0.08907859","0.012053978","0.008797907","-0.497954905","-0.155170426","-0.853207529","0.026992321","-0.011241943","-0.014864922","0.962602439","0.080415107","-0.258707642","-0.000685852","N"
"1.71E+18","0.197568359","-0.072803482","0.014819298","0.006936625","-0.497760087","-0.154420346","-0.853457272","0.028125018","-0.010664508","-0.01698029","0.962667307","0.080001108","-0.258594628","-0.00075686","N"
"1.71E+18","0.207588379","-0.065764211","0.013841119","0.00711186","-0.497446477","-0.153842971","-0.853744328","0.031717658","-0.00939557","-0.021118283","0.962741724","0.079679177","-0.258416451","-0.000816566","N"
"1.71E+18","0.217608398","-0.072483636","0.008600284","0.006570706","-0.497117639","-0.153431043","-0.854009986","0.037095606","-0.010250002","-0.021569848","0.962810663","0.079435643","-0.258234383","-0.0009063","N"
"1.71E+18","0.227628418","-0.098779157","0.005570406","0.00734249","-0.4968445","-0.152913705","-0.854261696","0.0407134","-0.014276862","-0.027223289","0.962875895","0.0791319","-0.258083918","-0.001017717","N"
"1.71E+18","0.237648438","-0.114163175","-0.003123111","0.011286099","-0.496532381","-0.152172312","-0.854575455","0.03889069","-0.012515813","-0.028496385","0.962957208","0.078703718","-0.25791082","-0.001154832","N"
