accelerationX,rotationRateZ,rotationRateY,quaternionW,label
0.001737356,-0.020628158,0.016117003,0.961996512,N
0.002680302,-0.023537926,0.017973971,0.962073482,N
0.000964284,-0.018200688,0.016638394,0.962141638,N
0.003284782,-0.02208038,0.018086251,0.962204593,N
0.008069426,-0.013236821,0.009627518,0.962258754,N
0.010983378,-0.006595429,0.009533348,0.962309593,N
0.011416286,-0.001049929,0.013518769,0.962359523,N
0.013608336,0.001659304,0.007086969,0.962399016,N
0.022462755,0.003852418,0.009617238,0.962463076,N
0.025857985,0.004554693,0.010337037,0.962536662,N
0.026992321,0.008797907,0.012053978,0.962602439,N
0.028125018,0.006936625,0.014819298,0.962667307,N
0.031717658,0.00711186,0.013841119,0.962741724,N
0.037095606,0.006570706,0.008600284,0.962810663,N
0.0407134,0.00734249,0.005570406,0.962875895,N
0.03889069,0.011286099,-0.003123111,0.962957208,N
0.035318732,0.013120218,0.003514018,0.963058256,N
0.032515794,0.004510218,0.005661964,0.963169937,N
0.028641552,0.009275412,0.008000219,0.963287907,N
0.032282799,0.000903499,0.012006146,0.963416651,N
0.032028615,0.006418107,0.00492054,0.963550393,N
0.029878765,0.002033479,0.006092597,0.963685128,N
0.031274557,0.008296967,-0.002628775,0.963814326,N
0.030891031,0.021231674,-0.009376853,0.963925239,N
0.02993542,0.01644757,-0.009268462,0.964026229,N
0.026599199,0.011135098,-0.009255201,0.964128327,N
0.023896456,-0.004013229,-0.011823021,0.964235581,N
0.019713908,-0.058793653,0.009643656,0.9643744,N
0.007932365,-0.145554125,0.048251502,0.964583532,N
-0.007726341,-0.167025059,0.03981008,0.964820232,N
0.008463264,-0.28809607,0.009729942,0.965045971,N
0.008020639,-0.374828845,0.014166823,0.965312775,N
-0.015919328,-0.414257199,0.035955474,0.965613702,N
-0.024935633,-0.401854336,0.029469667,0.965929155,N
-0.012505323,-0.565655231,0.033175189,0.966208587,D
-0.04918927,-0.644416928,0.023302689,0.966516393,D
-0.080410957,-0.73355639,0.009588209,0.966786578,D
-0.080875784,-0.914291799,0.056802966,0.967016728,D
-0.103944063,-0.96052587,-0.049607895,0.967085229,D
-0.126713187,-1.012465835,-0.010823907,0.967032115,D
-0.152764916,-1.205537319,-0.092066839,0.96674568,D
-0.111036599,-1.356707096,-0.010668593,0.96620217,D
-0.159877211,-1.338164568,-0.06917771,0.965458926,D
-0.147322744,-1.52775228,-0.070761919,0.964437713,D
-0.160587639,-1.683298826,0.008599218,0.963192306,D
-0.218970925,-1.687427759,-0.019069802,0.961727362,D
-0.208617002,-1.822134376,-0.029977307,0.959939691,D
-0.199771434,-1.914777279,-0.025210306,0.957784086,D
-0.202913761,-2.003982306,-0.066099942,0.95527251,D
-0.204517901,-2.106720448,-0.099067591,0.952369322,D
-0.213597536,-2.225977659,-0.106279425,0.949019941,D
-0.223372549,-2.30181098,-0.162352815,0.945210594,D
-0.226336956,-2.319088459,-0.208503529,0.94085926,D
-0.232307136,-2.347941637,-0.228400871,0.936009791,D
-0.24898088,-2.426542282,-0.301817805,0.930450683,D
-0.201501906,-2.451495171,-0.321965307,0.92413856,D
-0.170149922,-2.472025394,-0.392514318,0.917164225,D
-0.188075244,-2.433002949,-0.473950416,0.909604424,D
-0.221902013,-2.400062323,-0.520103514,0.901629136,D
-0.243016243,-2.428107262,-0.501401365,0.893133536,D
-0.219780684,-2.45493412,-0.515794933,0.883962391,D
-0.191960514,-2.348313093,-0.555009842,0.874396699,D
-0.157890558,-4.721610546,-2.25646472,0.494640109,D
-0.122164965,-4.616811752,-2.355725288,0.480134379,D
-0.060004771,-4.499957561,-2.506766081,0.465492293,D
0.018282831,-4.369483948,-2.674866915,0.450877472,D
0.068974495,-4.257959366,-2.829460621,0.436269181,D
0.080062553,-4.237974644,-3.038825035,0.421600777,D
0.097785376,-4.161774635,-3.229879379,0.406933062,D
0.101816498,-4.133220196,-3.370673418,0.392145821,D
0.092140228,-4.138859749,-3.449493647,0.376875776,D
0.089527451,-4.203674793,-3.469698429,0.360880172,D
0.099454582,-4.353641987,-3.486152411,0.343835499,D
0.108003139,-4.512681961,-3.367905378,0.32529364,D
0.093562275,-4.714076519,-3.400517941,0.306237236,D
0.033775717,-4.745824337,-3.253558636,0.287075369,D
-0.051647395,-4.844102383,-3.074852467,0.267018856,D
-0.162990063,-4.946601391,-2.961245537,0.245201125,D
-0.261669397,-5.130521297,-2.745211363,0.221090868,D
-0.371448517,-5.314806938,-2.732400417,0.196321005,D
-0.408981323,-5.295572758,-2.829252481,0.173979503,D
-0.403213501,-5.275908947,-2.825499296,0.154485588,D
-0.464647174,-5.363618851,-2.984098196,0.13759566,D
-0.523209691,-5.371516228,-3.27213645,0.122722778,D
-0.577012777,-5.289460182,-3.521434069,0.108544595,D
-0.799930751,-5.485305786,-3.715909004,0.094503322,D
-1.12331295,-5.483946323,-4.074000835,0.08204629,N
-1.287850976,-5.584987164,-4.318043709,0.072012299,N
-1.352843761,-5.661411285,-4.717758179,0.066695569,N
-1.276187897,-5.593539715,-5.16007185,0.068828428,N
-1.159400463,-5.373028278,-5.522951126,0.078507714,D
-1.113997221,-5.034772396,-5.856926918,0.094984369,D
-1.092175007,-4.474287033,-6.050753593,0.116051553,D
-1.087289572,-3.780834675,-6.174676895,0.14074063,D
-1.092427492,-2.890094757,-6.327876091,0.169567473,D
-1.092062831,-1.71661818,-6.386855125,0.203934462,D
-1.069679022,-0.527183235,-6.461075306,0.24386905,D
-1.062551618,0.956742883,-6.607395649,0.28948248,D
-1.070600033,2.458220243,-6.750627995,0.33916685,D
-1.231754065,3.610738516,-6.553787708,0.38967903,D
-1.528516531,4.351946354,-6.249414444,0.438663577,D
-1.596541405,5.151795387,-6.043435574,0.486788662,D
-1.481342554,5.713481426,-5.806623459,0.536321119,D
-1.508108735,6.278033733,-5.493432522,0.58805456,D
-1.586899519,6.888494968,-4.998479843,0.639888012,D
-1.664946914,7.343120098,-4.328732491,0.688901872,D
-1.742022514,7.777369499,-3.684103251,0.734248812,D
-1.721520066,8.125470161,-3.072026491,0.775024784,D
-0.202436954,-2.818214417,-1.473489165,0.575948862,D
-0.219627857,-2.990006685,-1.561701894,0.570670098,D
-0.237100244,-3.132973194,-1.638628602,0.564617056,D
-0.222472042,-3.251178741,-1.709174514,0.557755793,D
-0.208137006,-3.343329668,-1.761853695,0.550045869,D
-0.205045879,-3.467570782,-1.790077806,0.541369013,D
-0.19706136,-3.555250406,-1.836536646,0.531625124,D
-0.186490774,-3.62232542,-1.885227442,0.520906586,D
-0.179968983,-3.695722342,-1.940244079,0.509200562,D
-0.167376071,-3.747049093,-2.019355774,0.496522563,D
-0.139154941,-3.772470236,-2.101360321,0.482997716,D
-0.089663491,-3.792672634,-2.220709801,0.468715277,D
-0.026731387,-3.82801342,-2.368190765,0.453798388,D
0.025582373,-3.835921049,-2.603901386,0.438463691,D
0.085936576,-3.879034042,-2.846126795,0.42290687,D
0.116539121,-3.937330723,-3.052760839,0.406893496,D
0.10843572,-4.029946327,-3.129869223,0.38984051,D
0.079113752,-4.169349194,-3.243409395,0.371466286,D
0.006862268,-4.439798355,-3.301098108,0.351624258,D
-0.097257838,-4.718910217,-3.33131361,0.330167713,D
-0.167509228,-4.870132446,-3.469198227,0.308135653,D
-0.211820692,-5.186714172,-3.380903244,0.285335335,D
-0.320705742,-5.55258894,-3.389061451,0.261777338,D
-0.379595935,-5.668373108,-3.463817835,0.239033086,D
-0.357506275,-5.874010563,-3.348067284,0.216435996,D
-0.433769345,-6.164572716,-3.176983118,0.193185579,D
-0.533827722,-6.392979145,-3.128796339,0.16940263,D
-0.593929052,-6.532333851,-3.192244053,0.14536438,D
-0.672675014,-6.52858305,-3.260688782,0.121591455,D
-0.859250963,-6.837682247,-3.355738878,0.099968962,N
-1.141568303,-6.882573605,-3.765773296,0.085625555,N
-1.260988712,-6.726212978,-4.192801476,0.079359999,N
-1.360124111,-6.517209053,-4.663681984,0.080737779,D
-1.365270138,-6.070116043,-5.204585552,0.087869533,D
-1.254859686,-5.489340305,-5.608338833,0.099424986,D
-1.22899127,-4.694018841,-5.845844746,0.116286929,D
-1.228893161,-3.784300327,-5.994778156,0.139153283,D
-1.092927694,-2.709038258,-6.066974163,0.167928512,D
-0.841268301,-1.456614017,-6.079519749,0.200607085,D
-0.613107979,-0.337337106,-6.192990303,0.23639974,D
-0.547232449,0.493195504,-6.364327431,0.274880151,D
-0.612784684,1.174067497,-6.444564342,0.318042583,D
-0.701614857,2.07300663,-6.784568787,0.369039345,D
-0.736112297,3.177474499,-7.013715267,0.427598976,D
-0.813442707,4.515281677,-6.966618061,0.491946153,D
-1.09603858,5.499608994,-6.54820013,0.557545968,D
-1.549976468,6.569160461,-5.936558247,0.619748124,D
-1.930935144,6.977700233,-4.867999554,0.675458411,D
-2.20853281,7.427758694,-3.88786459,0.726315322,D
-2.23716712,7.944054604,-2.929289818,0.771564711,D
-2.12057066,8.188622475,-1.960444212,0.810594133,D
-2.1644907,8.242198944,-0.916127622,0.842301148,D
-2.159799576,8.348940849,0.002866977,0.867032673,D
-2.015613556,8.379640579,0.653075457,0.885461627,D
-1.825051904,8.20882225,1.183214426,0.899009244,D
-1.64198947,7.810276985,1.536876082,0.909242841,D
-1.445866227,7.860014915,1.450320482,0.916331844,D
-1.339070439,7.693691254,1.917181015,0.919747048,D
-1.439076781,7.491307735,2.308402061,0.919245967,D
-1.430964828,7.104929447,2.506679773,0.91575899,D
-1.36512661,6.728298187,2.569816113,0.910401153,D
-1.278061867,6.318902016,2.718196869,0.903415119,D
-1.270711184,5.787425995,2.824983835,0.895070655,D
-1.278359056,5.31484127,2.685967207,0.886049974,D
-1.176653147,4.992593765,2.630036831,0.876498397,D
-1.060577393,5.00669384,2.703779936,0.865855664,D
-0.9813236,4.739318371,2.393574238,0.854276579,D
-0.926500142,4.340053082,1.925954819,0.843541466,D
-1.028132558,3.977916479,1.933342695,0.832950585,D
-1.176295638,3.539980173,1.711303115,0.822623498,D
-1.134500742,3.337198257,1.438781619,0.812819393,D
-0.98805052,2.997087717,1.279798627,0.803527882,D
-0.885034621,2.652419806,1.08039391,0.794989472,D
-0.772636712,2.44687891,0.850999355,0.787234673,D
-0.653316438,2.076606274,0.700254858,0.780161898,D
-0.584241509,1.586137772,0.573880196,0.774254445,D
-0.393146276,1.236288786,0.295405149,0.769459796,D
-0.139311254,1.055775404,0.14918004,0.766123251,N
-0.049436271,1.27190268,-0.432227969,0.763230836,N
0.008590996,0.315106183,-0.524199247,0.762315295,N
0.009873509,0.264293343,-0.488117665,0.761824888,N
-0.106293499,0.410735756,-0.393026441,0.761718886,N
-0.321609437,0.295085609,-0.517129004,0.761569801,N
-0.137203157,-0.016286939,-0.204565838,0.761625218,N
-0.153248727,-0.113449968,-0.194563538,0.761907081,N
-0.205462039,-0.159861147,-0.142842188,0.76238329,N
-0.271944344,-0.309967816,-0.101486221,0.763004624,N
-0.234383583,-0.339140356,-0.190329596,0.763906961,N
-0.188125789,-0.461042285,-0.296096772,0.765272968,N
-0.168290555,-0.549687445,-0.407528669,0.767268163,N
-0.117170155,-0.668450892,-0.505524695,0.769875153,N
-0.089406192,-0.780731857,-0.635056138,0.773142321,N
-0.083625793,-0.875329196,-0.787468851,0.776983608,N
-0.090562999,-0.96767354,-0.892458081,0.781317482,N
-0.080657125,-1.042547584,-0.988385677,0.786074219,D
-0.066240191,-1.109036088,-1.105391145,0.791245603,D
-0.08054316,-1.180986643,-1.211901307,0.796803737,D
-0.116285264,-1.254266143,-1.298487425,0.802696043,D
-0.168730795,-1.297986507,-1.378382087,0.897389058,D
-0.224447429,-1.344677091,-1.468021989,0.902225906,D
-0.239672422,-1.455532432,-1.512515068,0.907232288,D
-0.249507546,-1.555083036,-1.560078025,0.912321075,D
-0.272662461,-1.684060931,-1.57902348,0.917350405,D
-0.287860155,-1.862618446,-1.568717837,0.922246058,D
-0.298811615,-2.00743556,-1.532297254,0.926966225,D
-0.307714224,-2.168101549,-1.521060348,0.931380478,D
-0.302411735,-2.32744813,-1.49785912,0.935391501,D
-0.277624011,-2.496726751,-1.503733873,0.938999417,D
-0.256236434,-2.626808643,-1.514253259,0.942287151,D
-0.242818356,-2.666772127,-1.483082771,0.945316143,D
-0.233988702,-2.803202629,-1.408751726,0.947938727,D
-0.250813782,-2.987296343,-1.375202537,0.949905416,D
-0.261505604,-3.208856821,-1.340149999,0.951169516,D
-0.241994619,-3.441326618,-1.2903229,0.951718919,D
-0.19772172,-3.52244544,-1.250478983,0.951557031,D
-0.143474281,-3.583122492,-1.218480587,0.950714591,D
-0.102660894,-3.656705856,-1.135477304,0.949117425,D
-0.075268507,-3.600256205,-1.102096796,0.946748438,D
-0.087325871,-3.706643343,-0.960914969,0.943455295,D
-0.151502162,-3.781266451,-0.73118186,0.938983589,D
-0.181889713,-3.797145128,-0.537962317,0.933438616,D
-0.190285712,-3.821728945,-0.560736239,0.927205626,D
-0.164181828,-4.003642082,-0.473194957,0.920192661,D
-0.083197862,-4.045701504,-0.368354559,0.912048898,D
-0.033360749,-3.983767986,-0.34090668,0.902759357,D
-0.057688355,-3.951509714,-0.212948784,0.891969791,D
